full_name,brand,age,abv,volume
Lagavulin16Y- 43%- 0.7l,Lagavulin,16Y,-43%,- 0.7l
Ardbeg10Y/ 2019TEN- 46%- 0.7l,Ardbeg,10Y,-46%,- 0.7l
Highland Park12Y- 40%- 0.7l,Highland Park,12Y,-40%,- 0.7l
Laphroaig10Y- 40%- 0.7l,Laphroaig,10Y,-40%,- 0.7l
Ardbeg/ 2013Uigeadail- 54.2%- 0.7l,Ardbeg,,-54.20%,- 0.7l
Balvenie12YDouble Wood- 40%- 0.7l,Balvenie,12Y,-40%,- 0.7l
Dalwhinnie15Y- 43%- 0.7l,Dalwhinnie,15Y,-43%,- 0.7l
Glenmorangie10YThe Original- 40%- 0.7l,Glenmorangie,10Y,-40%,- 0.7l
Glenfiddich12Y- 40%- 0.7l,Glenfiddich,12Y,-40%,- 0.7l
Bowmore12Y(new cardboard box)- 40%- 0.7l,Bowmore,12Y,-40%,- 0.7l
M&H- 2018/ 2022APEX Single Cask - STR Cask- 58.3%- 0.7l,M&H,,-58.30%,- 0.7l
8YMac LeodÂ´s Lowland Single Malt- 40%- 0.7l,,8Y,-40%,- 0.7l